標的名稱,代碼,幣別,類型,成立日期,風險收益等級,配息頻率,淨值日期,淨值,三個月(%),六個月(%),一年(%),三年(%),成立以來(%),年化標準差,年化Sharpe,年化Beta,規模日期,基金規模,嘉實基金評等,備註
摩根基金－新興市場小型企業基金 - JPM新興市場小型企業(美元)- A股perf(累計),JFZ95-TFCI,美元,股票型,2007/11/15,RR5,無,2026/06/29,23.97,8.17,11.54,13.49,34.29,139.7,14.43,0.25,0.69,2026/04/30,494.00百萬,1,
高盛基金Ⅲ-高盛全球機會股票基金X股美元(原名稱：NN(L)全球機會股票基金X股美元),ANZ88-TFCJ,美元,股票型,2010/08/10,RR3,無,2026/06/30,451.27,11.86,1.45,-3.47,7.51,82.68,15.39,-0.07,0.89,2026/04/30,224.00百萬,1,
普徠仕（盧森堡）系列基金－普徠仕美國大型價值股票基金A級別(美元),MAR06-TFCK,美元,股票型,2003/01/02,RR4,無,2026/06/30,62.56,16.3,15.92,25.15,48.25,525.6,11.91,0.53,0.61,2026/04/30,534.00百萬,3.5,
富蘭克林華美第一富基金-A累積型(台幣),ACFT01-TFCL,台幣,國內股票開放型一般股票型,2002/12/13,RR4,無,2026/07/01,325.12,53.02,104.81,209.52,286.13,3151.2,28.55,1.22,0.79,2026/05/31,70.5141億,3.5,
景順潛力基金,ACCS02-TFCN,台幣,國內股票開放型一般股票型,1995/08/09,RR4,無,2026/07/01,177.71,60.29,97.79,190.33,273.26,2660.11,27.33,1.2,1.07,2026/05/31,53.0362億,3.5,
凱基台灣精五門基金,ACKG15-TFCO,台幣,國內股票開放型一般股票型,2009/09/03,RR4,無,2026/07/01,199.38,47.5,104.14,235.71,389.04,1893.8,29.85,1.25,0.77,2026/05/31,43.6006億,5,
高盛基金Ⅲ-高盛新興市場增強股票基金X股美元(本基金非屬環境、社會及治理相關主題之境外基金)(原名稱： NN(L)新興市場增強股票基金X股美元(本基金非屬環境、社會及治理相關主題之境外基金)),ANZ66-TFCX,美元,股票型,1994/07/04,RR5,無,2026/06/30,3332.98,26.47,27.07,46.23,85.55,541.2,23.72,0.49,1.23,2026/04/30,"1,790.00百萬",3,
瀚亞外銷基金A類型–新台幣,ACCP04-TFD1,台幣,國內股票開放型一般股票型,1995/03/27,RR4,無,2026/07/01,308.79,46.15,96.86,194.48,303.07,2984.82,28.36,1.17,0.75,2026/05/31,174.7698億,3.5,
瀚亞理財通基金A不配息(台幣)(原名稱：瀚亞理財通基金),ACCP15-TFD3,台幣,股票債券平衡型一般股票型,2000/11/16,RR4,無,2026/07/01,67.91,25.11,32.51,51.38,75.98,579.1,15.65,0.78,0.63,2026/05/31,72.074億,1,
瀚亞歐洲基金,ACCP13-TFD4,台幣,跨國投資股票型區域型,2000/06/13,RR4,無,2026/06/30,18.9,11.9,4.25,7.94,38.97,89,13.98,0.15,0.82,2026/05/31,23.4613億,1,
瀚亞菁華基金,ACCP07-TFD7,台幣,國內股票開放型一般股票型,1996/10/01,RR4,無,2026/07/01,171.32,47.06,93.95,205.55,298.14,1613.2,32.51,1.06,0.86,2026/05/31,56.8212億,3,
瀚亞美國高科技基金A類型-新臺幣,ACCP16-TFD8,台幣,跨國投資股票型單一國家,2002/06/17,RR4,無,2026/06/30,179.13,79.65,73.46,115.53,232.03,1691.3,40.06,0.61,2.52,2026/05/31,182.4789億,5,
瀚亞印度基金A類型-新臺幣,ACCP22-TFDA,台幣,跨國投資股票型單一國家,2005/06/06,RR5,無,2026/06/30,55.68,13.89,-5.64,-0.82,30.37,456.8,20.6,-0.0003,1.05,2026/05/31,118.349億,1.5,
瀚亞股債入息組合基金A-新台幣(本基金並無保證收益及配息),ACCP21-TFDE,台幣,全球組合型平衡型,2005/01/31,RR3,無,2026/06/30,25.8973,17.29,16.89,31.4,54.96,158.98,13.22,0.59,0.78,2026/05/31,28.6869億,4,
新台幣貨幣帳戶,TFDF-TFDF,台幣,貨幣帳戶,-,RR1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
摩根新興35基金-累積型(原名稱：摩根新興35基金),ACJF96-TFDI,台幣,跨國投資股票型區域型,2006/07/25,RR5,無,2026/06/30,24.7,20.96,25.96,54.28,75.68,147,20.39,0.63,1.07,2026/05/31,63.4505億,2.5,
瀚亞亞太不動產證券化基金A類型,ACCP27-TFDJ,台幣,不動產證券化型,2006/12/26,RR5,無,2026/06/30,11.12,3.93,-4.06,5.7,15.83,11.2,15.84,0.1,0.78,2026/05/31,4.5952億,2,
瀚亞精選傘型基金之債券精選組合基金A-新台幣,ACCP26-TFDN,台幣,全球組合型債券型,2006/10/04,RR2,無,2026/06/30,14.1183,0.87,-0.21,4.2,10.03,41.19,3.55,0.24,0.87,2026/05/31,11.486億,2,
貝萊德永續能源基金A2美元(本基金非屬環境、社會及治理相關主題基金),SHZA4-TFDO,美元,新能源,2001/04/06,RR4,無,2026/06/30,25.09,14.51,19.93,47.68,45.7,150.9,17.51,0.66,0.72,2026/04/30,"5,086.00百萬",3,
M＆G全球未來趨勢基金A(歐元),MMG04-TFDQ,歐元,股票型,2000/11/17,RR4,無,2026/06/30,66.794,8.65,8.72,18.74,33.14,548.69,10.59,0.45,0.59,2026/04/30,"3,343.00百萬",3,
摩根東協基金(美元)(累計),JFZ01-TFDS,美元,股票型,1983/07/07,RR5,無,2026/06/29,184.72,3.92,3.08,11.56,32.43,N/A,10.62,0.28,0.47,2026/04/30,"1,144.00百萬",3.5,
貝萊德世界礦業基金 A2 美元,SHZ19-TFDV,美元,天然資源,1997/03/24,RR4,無,2026/06/30,100.61,-0.7,4.61,55.94,62.3,908.12,33.42,0.43,0.09,2026/04/30,"7,469.00百萬",4.5,
瀚亞投資-亞洲債券基金 A(美元)(本基金有相當比重投資於非投資等級之高風險債券),IOF06-TFDW,美元,債券型,2005/03/01,RR3,無,2026/06/30,20.155,1.98,0.97,5.38,18.84,101.55,3.52,0.33,0.98,2026/04/30,"2,420.00百萬",4,
瀚亞亞太基礎建設基金,ACCP29-TFDX,台幣,跨國投資股票型區域型,2007/05/23,RR4,無,2026/06/30,13.43,-1.97,-4,7.87,23.1,34.3,11.39,0.18,0.37,2026/05/31,3.9964億,1,
瀚亞亞太高股息基金A-新台幣(本基金並無保證收益及配息),ACCP24-TFDY,台幣,跨國投資股票型區域型,2006/04/10,RR5,無,2026/06/30,27.14,22.86,28.75,58.71,96.81,171.4,21,0.66,0.96,2026/05/31,11.7365億,3,
富蘭克林坦伯頓全球投資系列-亞洲成長基金美元A (acc)股,FLZC1-TFEG,美元,股票型,2001/05/14,RR5,無,2026/06/30,65.6,40.08,39.75,59.88,91.25,N/A,29.1,0.5,1.33,2026/05/29,"2,498.00百萬",4,
瀚亞投資-印尼股票基金 A(美元),IOF10-TFEO,美元,股票型,2007/07/02,RR5,無,2026/06/30,8.469,-21.36,-29.86,-27.52,-43.68,-15.31,20.6,-0.43,0.72,2026/04/30,82.00百萬,1.5,
M＆G全球未來趨勢基金A(美元),MMG15-TFEP,美元,股票型,2007/03/09,RR4,無,2026/06/30,27.0065,7.81,5.36,15.46,39.86,170.07,14.2,0.29,0.82,2026/04/30,"3,343.00百萬",2.5,
瀚亞投資-印度股票基金 A(美元),IOF25-TFEQ,美元,股票型,2005/10/17,RR5,無,2026/06/30,19.425,6.36,-11.92,-14.29,11.97,N/A,16.77,-0.26,0.89,2026/04/30,297.00百萬,2.5,
貝萊德歐洲特別時機基金 A2 美元,SHZF4-TFES,美元,股票型,2002/10/14,RR4,無,2026/06/30,76.84,19.08,8.35,2.49,17.49,668.4,21.22,0.05,1.23,2026/04/30,657.00百萬,1,
貝萊德中國基金 A2 美元,SHZL5-TFET,美元,股票型,2008/06/24,RR5,無,2026/06/30,20.59,6.46,-0.63,9.17,34.58,105.9,19.14,0.14,1.02,2026/04/30,"1,113.00百萬",3.5,
富蘭克林坦伯頓全球投資系列-大中華基金美元A (acc)股,FLZA2-TFEW,美元,股票型,1994/09/01,RR5,無,2026/06/30,23.56,-1.55,-8.86,1.73,13.65,135.6,18.49,0.03,1.06,2026/05/29,293.00百萬,1,
富蘭克林坦伯頓全球投資系列-拉丁美洲基金美元A (acc)股(暫停新申購),FLH19-TFEX,美元,股票型,2001/05/14,RR5,無,2026/06/30,87.9,-2.01,11.21,26.71,32.74,523.4,22.21,0.32,0.98,2026/05/29,699.00百萬,4,★2018/09/21暫停新申購
富蘭克林坦伯頓全球投資系列-亞洲小型企業基金美元A (acc)股,FLZD6-TFEY,美元,中小型股,2008/10/14,RR4,無,2026/06/30,77.46,18.66,13.73,11.63,43.34,674.6,17.18,0.19,0.7,2026/05/29,731.00百萬,2,
富蘭克林華美中華基金,ACFT06-TFEZ,台幣,跨國投資股票型區域型,2009/03/24,RR5,無,2026/06/30,19.22,25.29,21.65,45.72,56.77,92.2,19.96,0.56,1.19,2026/05/31,4.9116億,2,
富蘭克林坦伯頓全球投資系列-新興國家基金美元A (acc)股,FLZE8-TFFA,美元,股票型,2001/05/14,RR5,無,2026/06/30,88.97,31.63,34.03,59.24,112.39,668.31,28.13,0.51,1.45,2026/05/29,"2,546.00百萬",4.5,
貝萊德亞洲老虎債券基金 A2 美元(基金有相當比重投資於非投資等級之高風險債券),SHZG2-TFFV,美元,債券型,1996/02/02,RR3,無,2026/06/30,45.21,1.76,1.25,6.43,21.99,N/A,3.74,0.39,0.97,2026/04/30,"2,153.00百萬",4,
富蘭克林華美全球債券組合基金-累計型(本基金之配息來源可能為本金),ACFT03-TFFX,台幣,全球組合型債券型,2005/06/29,RR3,無,2026/06/30,13.9977,2.48,1.72,9.29,19.02,39.98,4.09,0.55,1.03,2026/05/31,8.3122億,3,
摩根基金－美國複合收益債券基金 - JPM 美國複合收益債券(美元)－ A股(累計),JFZ99-TFFY,美元,債券型,2005/03/31,RR2,無,2026/06/29,18.58,1.64,0.43,3.68,11.73,85.8,4,0.18,1.1,2026/04/30,"4,672.00百萬",3,
摩根基金－環球企業債券基金 -JPM環球企業債券(美元)- A股(累計),JFZ96-TFGA,美元,債券型,2009/02/27,RR2,無,2026/06/29,20.84,2.71,0.97,4.57,18.54,108.4,3.87,0.25,1.03,2026/04/30,"6,174.00百萬",3.5,
瀚亞投資-優質公司債基金 A(美元),IOF29-TFGC,美元,公司債券,2007/11/30,RR2,無,2026/06/30,15.034,1.49,0.58,3.88,13.95,N/A,3.42,0.22,1.04,2026/04/30,"2,848.00百萬",2.5,
聯博-美國收益基金 A2股美元(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),ALZ10-TFGI,美元,債券型,1998/10/26,RR3,無,2026/06/30,33.88,1.89,0.33,3.2,17.52,280.67,3.8,0.15,1.03,2026/05/31,"20,999.00百萬",3.5,
