標的名稱,代碼,幣別,類型,成立日期,風險收益等級,配息頻率,淨值日期,淨值,三個月(%),六個月(%),一年(%),三年(%),成立以來(%),年化標準差,年化Sharpe,年化Beta,規模日期,基金規模,嘉實基金評等,備註
東方匯理全球非投資等級債券基金AD(月配息)-人民幣避險(本基金之配息來源可能為本金)(本投資標的於2023/7/1後不提供新契約連結),ACCF37-PIN34,人民幣,,2019/05/31,RR3,,2026/08/25,5.54,1.31,0.32,2.11,15.45,,2.89,0.09,0.4,5.54,0.75億,,正常狀態
台新新興短期非投資等級債券基金B類型(月配息)-美元(本基金之配息來源可能為本金)(本投資標的於2023/7/1後不提供新契約連結)*,ACTT71-TS026,美元,,2020/05/28,RR4,,2026/08/25,8.0286,1.2,1.55,1.96,15.42,,2.46,0.09,0.2,8.0286,0.20億,,正常狀態
安聯全球農金趨勢基金,ACDD18-DS028,台幣,,2008/02/12,RR4,,2026/08/25,7.85,8.58,1.55,1.95,2.88,,12.06,0.03,0.39,7.85,18.12億,,正常狀態
台新新興富域國家債券基金B(月配息)-美元(本基金有相當比重投資於非投資等級之高風險債券且基金之配息來源可能為本金)(本投資標的於2023/7/1後不提供新契約連結)*,ACTS93-SK004,美元,,2020/01/21,RR3,,2026/08/25,6.7669,0.25,-2.72,1.89,15.98,,7.43,0.04,1.87,6.7669,0.11億,,正常狀態
第一金中國世紀基金-人民幣,ACNC47-FCB03,人民幣,,2014/09/10,RR5,,2026/08/25,21.19,-1.85,-3.2,1.68,32.94,,8.03,0.03,-0.14,21.19,1.63億,,正常狀態
安聯台灣貨幣市場基金,ACDD02-DS026,台幣,,2000/07/31,RR1,,2026/08/26,13.3954,0.41,0.77,1.51,4.38,,0.04,2.1,-0.0001,13.3954,266.51億,,正常狀態
元大得寶貨幣市場基金,ACKY08-PL008,台幣,,2001/08/08,RR1,,2026/08/26,12.8283,0.4,0.76,1.49,4.34,,0.04,1.88,-0.0001,12.8283,211.19億,,正常狀態
元大得利貨幣市場基金,ACKY02-PL007,台幣,,1995/09/21,RR1,,2026/08/26,17.4202,0.4,0.76,1.48,4.35,,0.04,1.97,-0.0001,17.4202,467.74億,,正常狀態
元大萬泰貨幣市場基金,ACYT08-YT018,台幣,,1997/02/19,RR1,,2026/08/26,16.1583,0.4,0.77,1.48,4.34,,0.04,1.88,-0.0001,16.1583,388.59億,,正常狀態
合庫貨幣市場基金-新臺幣,ACCB20-TCB19,台幣,,2015/04/27,RR1,,2026/08/26,10.8151,0.4,0.75,1.47,4.27,,0.04,1.8,-0.0001,10.8151,306.78億,,正常狀態
施羅德中國非投資等級債券基金-人民幣(月配息)(基金之配息來源可能為本金)(本投資標的於2023/7/1後不提供新契約連結)*,ACES21-SD041,人民幣,,2013/05/24,RR4,,2026/08/25,1.267,0.43,-0.14,1.43,12.38,,2.25,0.03,0.65,1.267,1.91億,,正常狀態
聯博全球非投資等級債券基金-TA 人民幣(月配息)(基金之配息來源可能為本金)(本投資標的於2023/7/1後不提供新契約連結)*,ACTI45-AB083,人民幣,,2015/04/02,RR3,,2026/08/25,7.17,0.6,-0.14,1.42,15.43,,3.22,0.02,0.57,7.17,51.79億,,正常狀態
聯博全球非投資等級債券基金-TA 人民幣(月配權)(基金之配息來源可能為本金)(本投資標的於2023/7/1後不提供新契約連結)*,ACTI45-AB095,人民幣,,2015/04/02,RR3,,2026/08/25,7.17,0.6,-0.14,1.42,15.43,,3.22,0.02,0.57,7.17,51.79億,,正常狀態
