"標的名稱","代碼","幣別","類型","成立日期","風險收益等級","配息頻率","淨值日期","淨值","三個月(%)","六個月(%)","一年(%)","三年(%)","成立以來(%)","年化標準差","年化Sharpe","年化Beta","規模日期","基金規模","嘉實基金評等","備註"
"瀚亞多重收益優化組合基金B類型-美元(本基金得投資於非投資等級之高風險債券基金且配息來源可能為本金)_(月配/單位數_僅供一生傳富、招財進保、世紀贏家商品連結)","TFQ6","美元","全球組合型平衡型","2018/09/26","RR3","月配","2026/05/22","8.47","4.21","10.34","17.6","38.78","53.3","9.09","0.49","0.66","2026/04/30","209.2496億","2","僅供一生傳富/招財進保/世紀贏家商品連結"
"瀚亞多重收益優化組合基金B類型-新台幣(本基金得投資於非投資等級之高風險債券基金且配息來源可能為本金)_(月配/單位數_僅供一生傳富、招財進保、世紀贏家商品連結)","TFQ7","台幣","全球組合型平衡型","2018/09/26","RR3","月配","2026/05/22","9.76","4.49","10.54","21.46","39.86","57.18","7.18","0.75","0.49","2026/04/30","28.0041億","2.5","僅供一生傳富/招財進保/世紀贏家商品連結"
"富蘭克林坦伯頓全球投資系列-穩定月收益基金美元A(Mdis)股(本基金有相當比重投資於非投資等級之高風險債券且基金之配息來源可能為本金)_(月配/現金)","TFQ9","美元","平衡型","1999/07/01","RR3","月配","2026/05/22","10.02","1.43","8.14","15.98","30.84","315.9","5.89","0.68","0.38","2026/03/31","11471.00百萬(美元)","3",""
"施羅德環球基金系列 - 環球收益股票 (美元)A1-月配固定(基金之配息來源可能為本金)","TFQA","美元","股票型","2005/07/29","RR3","月配","2026/05/22","154.7101","1.68","18.04","25.9","45.01","204.3","12.95","0.51","0.81","2026/04/30","268.00百萬(美元)","3.5",""
"瀚亞投資─美國優質債券基金Aadm(澳幣避險月配)(本基金配息來源可能為本金)","TFQF","澳幣","公司債券","2012/06/18","RR2","月配","2026/05/22","8.412","-1.58","-0.24","5.46","12.24","45.22","4.53","0.27","1.19","2026/03/31","415.00百萬(美元)","2.5",""
"瀚亞投資─優質公司債基金Aadmc1(澳幣避險穩定月配) (本基金配息來源可能為本金)","TFQG","澳幣","公司債券","2013/03/01","RR2","月配","2026/05/22","7.179","-1.71","-0.47","4.97","9.87","28.01","4.51","0.24","1.19","2026/03/31","2839.00百萬(美元)","2",""
"景順健康護理創新基金A-年配息股 美元","TFQJ","美元","健康護理股","1994/03/03","RR3","無","2026/05/22","199.15","-5.11","-5.68","9.11","11.49","N/A","11.41","0.21","0.88","2026/03/31","224.00百萬(美元)","2.5",""
"聯博-短期債券基金 AT股美元(基金之配息來源可能為本金)","TFQK","美元","債券型","2002/09/26","RR2","月配","2026/05/22","7.21","-0.14","0.68","2.9","11.65","N/A","1.54","0.31","0.37","2026/03/31","414.00百萬(美元)","2.5",""
"聯博-歐洲收益基金 AT股歐元(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金)","TFQO","歐元","債券型","2003/10/09","RR3","月配","2026/05/22","5.77","-1.35","-0.001","2.05","15.39","118.59","3.85","0.07","0.85","2026/02/28","1251.00百萬(歐元)","2.5",""
"貝萊德亞洲老虎債券基金 A3 美元(基金有相當比重投資於非投資等級之高風險債券)","TFQQ","美元","債券型","2003/09/01","RR3","月配","2026/05/22","10.27","-1.48","0.42","7.73","21.25","128.53","3.72","0.49","0.93","2026/03/31","2137.00百萬(美元)","4.5",""
"貝萊德美元優質債券基金 A3 美元","TFQS","美元","債券型","2003/09/01","RR2","月配","2026/05/22","14.94","-1.87","-0.36","5.6","10.46","77.45","4.15","0.3","1.1","2026/03/31","499.00百萬(美元)","3",""
"貝萊德環球政府債券基金 A3 美元","TFQU","美元","市政債券","2003/09/01","RR2","月配","2026/05/22","19.45","-2.06","-0.8","2.81","8.79","76.98","3.9","0.12","1.6","2026/03/31","839.00百萬(美元)","3.5",""
"野村全球高股息基金季配型新臺幣計價(本基金之配息來源可能為本金且並無保證收益及配息)","TFQV","台幣","跨國投資股票型全球市場","2007/10/01","RR3","季配","2026/05/22","23.95","8.52","28.07","46.58","103.54","139.41","16.28","0.69","0.96","2026/04/30","1.3593億","3.5",""
"野村亞太高股息基金季配型新臺幣計價(本基金之配息來源可能為本金且並無保證收益及配息)","TFQW","台幣","跨國投資股票型區域型","2007/10/01","RR5","季配","2026/05/22","17.37","22.74","57.47","101.62","104","92.27","14.08","1.47","0.82","2026/04/30","0.2949億","4",""
"安聯收益成長基金-AMg7月收總收益類股(美元)(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金)_(月配/現金)","TFR1","美元","平衡型","2020/02/03","RR3","月配","2026/05/22","8.9803","5.46","10.1","17.83","43.76","64.92","8.1","0.56","0.53","2026/03/31","53240.00百萬(美元)","3",""
